2017-11-07,asx,asx,08:39,asx:LOM,LUCAPA DIAMOND CO LTD <LOM.AX> - �CO HAS FINALISED ALL TERMS FOR US$15 MLN FINANCING FACILITY WITH EQUIGOLD PTE LTD�
2017-11-07,asx,asx,08:39,asx:LOM,LUCAPA DIAMOND CO LTD - SCHEDULED TO DRAW DOWN US$10 MLN OF EQUIGOLD FACILITY THIS MONTH�
2017-11-07,asx,asx,08:39,asx:LOM,LUCAPA DIAMOND CO LTD - � LUCAPA REPAID $5.5 MLN BRIDGING FACILITY TO FIRST CLASS SECURITIES FROM CO'S AVAILABLE CASH RESERVES�
2017-11-07,asx,asx,08:40,asx:LOM,LUCAPA DIAMOND CO LTD <LOM.AX> - �BOARD DECIDED NOT TO PURSUE LONDON AIM ADMISSION�
2017-11-07,asx,asx,08:44,asx:LOM,CORRECTED-LUCAPA DIAMOND CO LTD-LUCAPA REPAID A$5.5 MLN (NOT  $5.5 MLN) BRIDGING FACILITY TO FIRST CLASS SECURITIES FROM CO'S  AVAILABLE CASH RESERVES�
2017-11-07,asx,asx,08:44,asx:LOM,RPT-LUCAPA DIAMOND CO LTD <LOM.AX> - �CO HAS FINALISED ALL TERMS  FOR US$15 MLN FINANCING FACILITY WITH EQUIGOLD PTE LTD�
2017-11-07,asx,asx,08:44,asx:LOM,RPT-LUCAPA DIAMOND CO LTD - SCHEDULED TO DRAW DOWN US$10 MLN OF  EQUIGOLD FACILITY THIS MONTH�
2017-11-07,asx,asx,08:44,asx:LOM,RPT-LUCAPA DIAMOND CO LTD <LOM.AX> - �BOARD DECIDED NOT TO  PURSUE LONDON AIM ADMISSION�
2017-11-07,asx,asx,08:49,asx:LOM,BRIEF-Lucapa Diamond finalises terms of US$15 mln financing facility with Equigold 
2017-11-07,asx,asx,10:55,asx:FMG,BUZZ-Australia's miners up; metals index hits over 3-yr high
2017-11-07,asx,asx,10:00,asx:ICG,INCA MINERALS LTD <ICG.AX> - SEEKS TRADING HALT� PENDING A MARKET UPDATE IN RESPECT OF COMPANY'S PROSPECTUS DATED 26 OCTOBER 2017�
2017-11-07,asx,asx,10:02,asx:ICG,BRIEF-INCA Minerals seeks trading halt�
2017-11-07,asx,asx,08:54,asx:SUN,SUNCORP GROUP LTD - � UNIT VERO INSURANCE NEW ZEALAND RECEIVED NOTICE OF TERMINATION FROM TOWER LIMITED OF SCHEME IMPLEMENTATION AGREEMENT�
2017-11-07,asx,asx,08:55,asx:SUN,SUNCORP GROUP - CO WILL NO LONGER BE PROCEEDING WITH ITS APPEAL OF NEW ZEALAND COMMERCE COMMISSION'S DECISION TO APPLICATION TO ACQUIRE TOWER�
2017-11-07,asx,asx,09:16,asx:SUN,"CORRECTED-SUNCORP GROUP- WON'T PROCEED WITH APPEAL OF NZ  COMMERCE COMMISSION'S DECISION TO DECLINE APPLICATION TO ACQUIRE  TOWER (ADDS DROPPED WORD ""DECLINE"")�"
2017-11-07,asx,asx,09:16,asx:SUN,RPT-SUNCORP GROUP LTD - � UNIT VERO INSURANCE NEW ZEALAND  RECEIVED NOTICE OF TERMINATION FROM TOWER LIMITED OF SCHEME  IMPLEMENTATION AGREEMENT�
